GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
PCNA	-26.58	5	-6.84	3.95e-12	1	3.19e-09	1	807	1
POLE	-24.39	5	-6.26	1.88e-10	2	7.57e-08	1	806	1
DNA2	-23.87	5	-6.13	4.53e-10	3	1.22e-07	1	805	1
PSMB2	-22.52	5	-5.77	3.95e-09	4	7.98e-07	1	804	1
RAD51	-20.42	5	-5.22	9.05e-08	5	1.46e-05	1	803	1
POLD2	-19.69	5	-5.02	2.52e-07	6	3.39e-05	1	802	1
POLD1	-18.66	5	-4.75	1.01e-06	7	0.000113	1	801	1
RPA1	-18.57	5	-4.73	1.12e-06	8	0.000113	1	800	1
RPA3	-18.46	5	-4.70	1.3e-06	9	0.000117	1	799	1
RFC3	-17.74	5	-4.51	3.21e-06	10	0.000259	1	798	1
RPS2	-16.40	5	-4.16	1.61e-05	11	0.00118	1	797	1
PPIL2	-15.31	5	-3.87	5.44e-05	12	0.00366	1	796	1
RFC5	-15.16	5	-3.83	6.36e-05	13	0.00394	1	795	1
POLD3	-14.47	5	-3.65	0.000132	14	0.00759	1	794	1
RPL11	-14.33	5	-3.61	0.000152	15	0.00816	1	793	1
POLA1	-14.00	5	-3.53	0.000211	16	0.0106	1	792	1
RPS13	-13.78	5	-3.47	0.000262	17	0.0118	1	791	1
NUP93	-13.74	5	-3.46	0.000272	18	0.0118	1	790	1
POLR2A	-13.72	5	-3.45	0.000279	19	0.0118	1	789	1
RRN3	-13.24	5	-3.32	0.000443	20	0.0179	1	788	1
PSMD7	-12.89	5	-3.23	0.000611	21	0.0232	0.999	787	1
RPA2	-12.85	5	-3.22	0.000634	22	0.0232	0.999	786	1
RPS19	-12.66	5	-3.17	0.000757	23	0.0266	0.999	785	1
RPL36	-12.56	5	-3.15	0.000828	24	0.0279	0.999	784	1
POLR2D	-12.29	5	-3.07	0.00105	25	0.0341	0.999	783	1
PSMD11	-12.24	5	-3.06	0.0011	26	0.0342	0.999	782	1
EMG1	-11.98	5	-2.99	0.00138	27	0.0411	0.999	781	1
COPZ1	-10.38	4	-2.89	0.0019	28	0.0543	0.998	780	1
COPA	-11.57	5	-2.89	0.00195	29	0.0543	0.998	779	1
RPL5	-11.46	5	-2.86	0.00214	30	0.0577	0.998	778	1
RFC1	-11.14	5	-2.77	0.00277	31	0.0699	0.997	777	1
PSMC4	-11.09	5	-2.76	0.0029	32	0.0699	0.997	776	1
RPL34	-11.06	5	-2.75	0.00296	33	0.0699	0.997	775	1
PSMB3	-11.04	5	-2.75	0.00302	34	0.0699	0.997	774	1
DIMT1	-11.03	5	-2.74	0.00303	35	0.0699	0.997	773	1
PSMA3	-10.67	5	-2.65	0.00404	36	0.0905	0.996	772	1
PSMD6	-10.60	5	-2.63	0.00427	37	0.0931	0.996	771	1
RFC2	-10.31	5	-2.55	0.00533	38	0.113	0.995	770	1
COPS4	-10.23	5	-2.53	0.00565	39	0.117	0.994	769	1
DDB1	-10.18	5	-2.52	0.00588	40	0.119	0.994	768	1
FTSJ3	-9.77	5	-2.41	0.00794	41	0.156	0.992	767	1
RPL30	-9.57	5	-2.36	0.00916	42	0.176	0.991	766	1
RFC4	-9.44	5	-2.32	0.0101	43	0.187	0.99	765	1
NUP205	-9.42	5	-2.32	0.0102	44	0.187	0.99	764	1
RPS8	-9.39	5	-2.31	0.0104	45	0.187	0.99	763	1
RPL35A	-9.31	5	-2.29	0.011	46	0.193	0.989	762	1
RPL18A	-8.97	5	-2.20	0.0139	47	0.238	0.986	761	1
HNRNPL	-8.87	5	-2.17	0.0148	48	0.25	0.985	760	1
RPS27	-8.62	5	-2.11	0.0175	49	0.288	0.983	759	1
COPB1	-8.54	5	-2.09	0.0184	50	0.297	0.982	758	1
ARFRP1	-8.38	5	-2.05	0.0204	51	0.321	0.98	757	1
PSMC2	-8.36	5	-2.04	0.0207	52	0.321	0.979	756	1
USPL1	-8.27	5	-2.02	0.0219	53	0.333	0.978	755	1
POTEH	-7.67	5	-1.86	0.0315	54	0.471	0.968	754	1
RPL27	-7.53	5	-1.82	0.0342	55	0.502	0.966	753	1
RPL9	-7.44	5	-1.80	0.0361	56	0.512	0.964	752	1
DYNLRB1	-7.44	5	-1.80	0.0361	57	0.512	0.964	751	1
POLR2F	-7.20	5	-1.73	0.0414	58	0.577	0.959	750	1
COPS2	-7.05	5	-1.70	0.045	59	0.615	0.955	749	1
RPS11	-6.98	5	-1.68	0.0467	60	0.628	0.953	748	1
RPS9	-6.76	5	-1.62	0.0526	61	0.696	0.947	747	1
HIST1H2BD	-6.13	5	-1.45	0.0732	62	0.75	0.927	746	1
NUP133	-6.04	5	-1.43	0.0765	63	0.75	0.923	745	1
RPS24	-5.92	5	-1.40	0.081	64	0.75	0.919	744	0.997
DHX36	-5.84	5	-1.38	0.0846	65	0.75	0.915	743	0.994
TRIM49C	-5.50	5	-1.29	0.099	66	0.75	0.901	742	0.98
VEZT	-5.41	5	-1.26	0.103	67	0.75	0.897	741	0.976
RPS3A	-5.31	5	-1.24	0.108	68	0.75	0.892	740	0.973
COPS6	-5.14	5	-1.19	0.117	69	0.75	0.883	739	0.965
NUP98	-5.07	5	-1.17	0.12	70	0.75	0.88	738	0.962
RPL6	-3.18	2	-1.16	0.123	71	0.75	0.877	737	0.96
RPL3	-4.85	5	-1.11	0.133	72	0.75	0.867	736	0.951
PSMC1	-4.78	5	-1.10	0.137	73	0.75	0.863	735	0.948
HIST1H2BH	-4.53	5	-1.03	0.152	74	0.75	0.848	734	0.933
COPS8	-4.27	5	-0.96	0.168	75	0.75	0.832	733	0.916
EEF1B2	-4.27	5	-0.96	0.168	76	0.75	0.832	732	0.916
FANCM	-4.07	5	-0.91	0.182	77	0.75	0.818	731	0.904
GTF3C2	-4.00	5	-0.89	0.186	78	0.75	0.814	730	0.899
RAD1	-3.91	5	-0.87	0.193	79	0.75	0.807	729	0.894
TOP3A	-3.30	5	-0.71	0.239	80	0.75	0.761	728	0.843
GSTA1	-3.18	5	-0.68	0.249	81	0.75	0.751	727	0.833
CEND1	-3.06	5	-0.64	0.26	82	0.75	0.74	726	0.822
ELP4	-2.66	5	-0.54	0.295	83	0.75	0.705	725	0.785
ZNF431	-2.50	5	-0.50	0.31	84	0.75	0.69	724	0.77
BLM	-2.38	5	-0.46	0.321	85	0.75	0.679	723	0.758
DIDO1	-2.34	5	-0.45	0.325	86	0.75	0.675	722	0.754
HIST4H4	-2.30	5	-0.44	0.328	87	0.75	0.672	721	0.752
ATP5L	-2.22	5	-0.42	0.336	88	0.75	0.664	720	0.744
PSMD1	-0.93	1	-0.39	0.35	89	0.75	0.65	719	0.73
ETNK1	-2.02	5	-0.37	0.356	90	0.75	0.644	718	0.724
NUP54	-1.27	2	-0.37	0.357	91	0.75	0.643	717	0.724
KCNK17	-1.98	5	-0.36	0.36	92	0.75	0.64	716	0.722
PILRA	-1.98	5	-0.36	0.36	93	0.75	0.64	715	0.722
PCYT1A	-1.93	5	-0.35	0.365	94	0.75	0.635	714	0.718
TFG	-1.93	5	-0.35	0.365	95	0.75	0.635	713	0.718
EXO1	-1.84	5	-0.32	0.373	96	0.75	0.627	712	0.71
ERCC4	-1.80	5	-0.31	0.378	97	0.75	0.622	711	0.706
BCL6	-1.73	5	-0.29	0.385	98	0.75	0.615	710	0.699
ZNF736	-1.70	5	-0.29	0.387	99	0.75	0.613	709	0.698
RPS7	-1.69	5	-0.28	0.389	100	0.75	0.611	708	0.696
HIST3H2BB	-1.67	5	-0.28	0.391	101	0.75	0.609	707	0.696
FAHD2B	-1.51	5	-0.24	0.407	102	0.75	0.593	706	0.678
USP18	-1.46	5	-0.22	0.412	103	0.75	0.588	705	0.674
SLC39A5	-1.46	5	-0.22	0.412	104	0.75	0.588	704	0.674
MLXIPL	-1.43	5	-0.22	0.415	105	0.75	0.585	703	0.672
DNTTIP1	-1.39	5	-0.20	0.42	106	0.75	0.58	702	0.667
