	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
ERICH5-3	ERICH5	3319.667	0.036	0.698	0.052	0.185	5.000
USPL1-5	USPL1	3196.333	-1.522	0.698	-2.179	0.678	5.000
GCG-1	GCG	3178.333	-0.085	0.698	-0.122	0.191	5.000
EYA1-5	EYA1	3126.333	0.182	0.698	0.260	0.223	5.000
IQSEC3-1	IQSEC3	3050.333	0.257	0.698	0.368	0.318	5.000
LMO4-5	LMO4	3017.000	0.151	0.698	0.215	0.108	5.000
GRP-5	GRP	3016.667	0.213	0.698	0.305	0.173	5.000
EPDR1-4	EPDR1	3014.000	0.296	0.698	0.424	0.121	5.000
RPL30-3	RPL30	2960.667	-0.706	0.698	-1.011	1.170	5.000
PSMB3-4	PSMB3	2936.000	0.228	0.698	0.326	2.779	5.000
F10-2	F10	2883.667	0.178	0.698	0.255	0.036	5.000
NCK2-5	NCK2	2878.000	-0.104	0.698	-0.149	0.170	5.000
ETV3L-4	ETV3L	2866.667	-0.017	0.698	-0.024	0.130	5.000
ASPG-4	ASPG	2809.333	0.266	0.698	0.381	0.193	5.000
MSH3-1	MSH3	2804.333	0.078	0.698	0.112	0.093	5.000
EPDR1-5	EPDR1	2785.667	0.128	0.698	0.183	0.121	5.000
TNNC2-2	TNNC2	2767.000	0.182	0.698	0.260	0.390	5.000
NUP205-3	NUP205	2747.667	-0.082	0.698	-0.118	1.681	5.000
HDAC5-2	HDAC5	2700.667	0.090	0.698	0.129	0.221	5.000
SESN1-2	SESN1	2695.000	0.122	0.698	0.175	0.068	5.000
PRR21-5	PRR21	2677.667	0.276	0.698	0.394	0.109	5.000
FGF13-5	FGF13	2673.000	0.065	0.698	0.094	0.126	5.000
DUSP18-5	DUSP18	2635.000	0.168	0.698	0.241	0.153	5.000
COPS8-4	COPS8	2626.000	-1.712	0.698	-2.451	1.063	5.000
CCDC97-5	CCDC97	2602.333	0.233	0.698	0.333	0.173	5.000
chr17_4	chr17_4	2601.333	0.260	0.698	0.372	0.000	1.000
WIPF1-4	WIPF1	2583.667	0.043	0.698	0.062	0.088	5.000
VIPR2-5	VIPR2	2582.333	0.411	0.698	0.589	0.207	5.000
UCN2-4	UCN2	2570.000	0.070	0.698	0.101	0.142	5.000
ZDHHC1-4	ZDHHC1	2556.667	0.089	0.698	0.128	0.155	5.000
SFMBT1-1	SFMBT1	2549.000	0.230	0.698	0.330	0.106	5.000
MED12-2	MED12	2544.333	1.383	0.698	1.981	0.201	5.000
RNF43-5	RNF43	2542.333	0.294	0.698	0.421	0.473	5.000
COPA-1	COPA	2541.000	-4.154	0.698	-5.947	2.329	5.000
SLC38A4-3	SLC38A4	2534.333	0.094	0.698	0.135	0.131	5.000
ELF5-1	ELF5	2530.667	0.183	0.698	0.262	0.065	5.000
TYMSOS-3	TYMSOS	2525.333	0.202	0.698	0.289	0.074	5.000
VAV3-3	VAV3	2525.333	0.009	0.698	0.014	0.242	5.000
